date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:13:19	11037/11037	---M-Z	200	added ('OK')	text/html	etag:%222b1d-571d31db51c80-gzip%22	http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list/emitra-pay-points.html	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list/emitra-pay-points.html	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list.html)
10:13:20	10930/10930	---M-Z	200	added ('OK')	text/html	etag:%222ab2-571def5c784fe-gzip%22	http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list/_---_-_.html	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list/_---_-_.html	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list.html)
10:13:23	96276/96276	---M-Z	200	added ('OK')	application/javascript	etag:%2217814-56f1724b00680-gzip%22	http://bhamashah.rajasthan.gov.in/etc/designs/phed/tender.min.js	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/etc/designs/phed/tender.min.js	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list.html)
10:13:23	10711/10711	---M-Z	200	added ('OK')	text/html	etag:W/%2229d7-571dfa31513e2-gzip%22	http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list/digital-economy.html	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list/digital-economy.html	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list.html)
10:13:24	96276/96276	---M-Z	200	added ('OK')	application/javascript	etag:%2217814-56fa0246b1000-gzip%22	http://bhamashah.rajasthan.gov.in/etc/designs/aembootstrap/tender.min.js	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/etc/designs/aembootstrap/tender.min.js	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list.html)
10:13:24	11419/11419	---M-Z	200	added ('OK')	text/html	etag:W/%222c9b-571dfa322d753-gzip%22	http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list/_-_-_-_-_-_.html	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list/_-_-_-_-_-_.html	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list.html)
10:13:24	11065/11065	---M-Z	200	added ('OK')	text/html	etag:W/%222b39-571dfa326cef3-gzip%22	http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list/_-_-_.html	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list/_-_-_.html	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list.html)
10:13:28	48126/48126	---M--	200	added ('OK')	image/jpeg	etag:%22bbfe-56efb2f011500%22	http://bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/Happening%20state.jpg	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/Happening%20state.jpg	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list.html)
10:13:29	74860/74860	---M--	200	added ('OK')	image/jpeg	etag:%221246c-56f02fa72d280%22	http://bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/rajasthan-tours-bg.jpg	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/rajasthan-tours-bg.jpg	(from http://bhamashah.rajasthan.gov.in/etc/designs/bhamashah/clientlib/publish.min.css)
10:13:33	61371/61371	---M--	200	added ('OK')	image/jpeg	etag:%22efbb-56efbeedf1fc0%22	http://bhamashah.rajasthan.gov.in/content/dam/doitassets/common/images/popup/BhamashahAd.jpg	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/dam/doitassets/common/images/popup/BhamashahAd.jpg	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list.html)
10:13:40	39945/39945	---M--	200	added ('OK')	image/gif	etag:%229c09-56edf0ff48a00%22	http://bhamashah.rajasthan.gov.in/etc/designs/bhamashah/clientlib/core/images/gear.gif	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/etc/designs/bhamashah/clientlib/core/images/gear.gif	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/e-transaction.html)
10:14:02	134039/134039	---M--	200	added ('OK')	image/jpeg	etag:%2220b97-56edf68965bc0%22	http://bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/Asrlayi-Pali.jpg	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/Asrlayi-Pali.jpg	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/photo-gallery.html)
10:14:07	240879/240879	---M--	200	added ('OK')	image/jpeg	etag:%223acef-56f245b5ed280%22	http://bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/HCM%20app%206%20x%203.jpg	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/HCM%20app%206%20x%203.jpg	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/iec.html)
10:14:08	272840/272840	---M--	200	added ('OK')	image/jpeg	etag:%22429c8-56ee615cf64c0%22	http://bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/Banner%206%20x%203%20ft%20-%2026%20July.jpg	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/Banner%206%20x%203%20ft%20-%2026%20July.jpg	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/iec.html)
10:14:15	287747/287747	---M--	200	added ('OK')	image/jpeg	etag:%2246403-56ee04e4dbb40%22	http://bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/Bhamashah%20Banner%208X3%20(3).jpg	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/Bhamashah%20Banner%208X3%20(3).jpg	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/iec.html)
10:14:27	113724/113724	---M--	200	added ('OK')	image/jpeg	etag:%221bc3c-56edf68965bc0%22	http://bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/alwar.jpg	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/alwar.jpg	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/photo-gallery.html)
10:14:30	177490/177490	---M--	200	added ('OK')	image/jpeg	etag:%222b552-56edf68965bc0%22	http://bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/Badiyal%20khurd%20Photos%20%202.JPG	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/Badiyal%20khurd%20Photos%20%202.jpg	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/photo-gallery.html)
10:14:41	212202/212202	---M--	200	added ('OK')	image/jpeg	etag:%2233cea-56edf68965bc0%22	http://bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/bhamashah01.jpg	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/bhamashah01.jpg	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/photo-gallery.html)
10:14:49	140697/140697	---M--	200	added ('OK')	image/jpeg	etag:%2222599-56edf68965bc0%22	http://bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/Bhamashah%201st%20Enrolment%20Lady%20In%20Tehsil%20Karanpur%20Distt%20Ganganagar.jpg	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/Bhamashah%201st%20Enrolment%20Lady%20In%20Tehsil%20Karanpur%20Distt%20Ganganagar.jpg	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/photo-gallery.html)
10:15:04	209387/209387	---M--	200	added ('OK')	image/jpeg	etag:%22331eb-56edf694d76c0%22	http://bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/IMG-20160424-WA0200.jpg	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/IMG-20160424-WA0200.jpg	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/photo-gallery.html)
10:15:10	130043/130043	---M--	200	added ('OK')	image/jpeg	etag:%221fbfb-56edf68e2a700%22	http://bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/Bharatpur.jpg	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/Bharatpur.jpg	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/photo-gallery.html)
10:15:18	46780/46780	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Mar%202018%2012:39:52%20GMT	https://rajbot.rajasthan.gov.in/rajbot/user/images/rajasthani.png	C:/My%20Web%20Sites/hackhathon/rajbot.rajasthan.gov.in/rajbot/user/images/rajasthani.png	(from https://rajbot.rajasthan.gov.in/rajbot/user/css/botstyle.css)
10:15:28	146505/146505	---M--	200	added ('OK')	image/jpeg	etag:%2223c49-56edf694d76c0%22	http://bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/udaipur.jpg	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/udaipur.jpg	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/photo-gallery.html)
10:15:28	56225/56225	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Apr%202018%2013:08:30%20GMT	https://rajbot.rajasthan.gov.in/rajbot/user/images/teji.png	C:/My%20Web%20Sites/hackhathon/rajbot.rajasthan.gov.in/rajbot/user/images/teji.png	(from https://rajbot.rajasthan.gov.in/rajbot/user/css/botstyle.css)
10:15:30	17929/17929	---M--	200	added ('OK')	image/png	date:Sat,%2010%20Mar%202018%2015:07:44%20GMT	https://rajbot.rajasthan.gov.in/rajbot/user/images/gov.png	C:/My%20Web%20Sites/hackhathon/rajbot.rajasthan.gov.in/rajbot/user/images/gov.png	(from https://rajbot.rajasthan.gov.in/rajbot/user/css/botstyle.css)
10:15:34	410/410	---M--	200	added ('OK')	image/png	date:Wed,%2002%20May%202018%2008:01:40%20GMT	https://rajbot.rajasthan.gov.in/rajbot/user/images/main_logo.png	C:/My%20Web%20Sites/hackhathon/rajbot.rajasthan.gov.in/rajbot/user/images/main_logo.png	(from https://rajbot.rajasthan.gov.in/rajbot/user/css/botstyle.css)
10:15:39	101/101	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jul%202018%2004:45:42%20GMT	https://rajbot.rajasthan.gov.in/rajbot/user/images/ics/ics_header.png	C:/My%20Web%20Sites/hackhathon/rajbot.rajasthan.gov.in/rajbot/user/images/ics/ics_header.png	(from https://rajbot.rajasthan.gov.in/rajbot/user/css/ics.css)
10:15:40	435233/435233	---M--	200	added ('OK')	image/jpeg	etag:%226a421-56edf68e2a700%22	http://bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/bhamashah05.jpg	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/bhamashah05.jpg	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/photo-gallery.html)
10:15:44	101/101	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jul%202018%2004:45:47%20GMT	https://rajbot.rajasthan.gov.in/rajbot/user/images/ics/ics_header.gif	C:/My%20Web%20Sites/hackhathon/rajbot.rajasthan.gov.in/rajbot/user/images/ics/ics_header.gif	(from https://rajbot.rajasthan.gov.in/rajbot/user/css/ics.css)
10:15:49	102/102	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jul%202018%2004:45:52%20GMT	https://rajbot.rajasthan.gov.in/rajbot/user/images/icon-chat-close.png	C:/My%20Web%20Sites/hackhathon/rajbot.rajasthan.gov.in/rajbot/user/images/icon-chat-close.png	(from https://rajbot.rajasthan.gov.in/rajbot/user/css/ics.css)
10:15:50	485/485	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jul%202018%2004:45:58%20GMT	http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list/null	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list/null.73.delayed	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/news-list/detail-1.html)
10:23:43	12532824/12532824	---M--	200	added ('OK')	image/jpeg	etag:%22bf3c58-56edf68965bc0%22	http://bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/DSC_0365.JPG	C:/My%20Web%20Sites/hackhathon/bhamashah.rajasthan.gov.in/content/dam/doitassets/Bhamashah/Images/DSC_0365.jpg	(from http://bhamashah.rajasthan.gov.in/content/raj/bhamashah/en/photo-gallery.html)
